127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001894
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001960
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001086
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001702
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.002079
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001882
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000760
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001026
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000884
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000728
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.003760
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001091
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000736
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001140
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000769
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.000568
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000676
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001086
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.000955
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001706
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000952
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/images/files_toggle.png, HTTP/1.1, 200, 0.000538
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/default/edit/IMEI/controllers/default.py, HTTP/1.1, 200, 0.125020
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.000791
